modus,vox,tempus,scriptum,numerus,persona
infinitivus,activa,praesens,ēre
infinitivus,activa,perfectum,ēvissem
infinitivus,passiva,praesens,ērī
participalis,activa,praesens,ēns
participalis,passiva,perfectum,um
participalis,passiva,futurum,endum
participalis,activa,futurum,ūrum
imperativus,activa,praesens,ē,singularis,
imperativus,activa,praesens,ēte,pluralis,
imperativus,activa,futurum,ētō,singularis,
imperativus,activa,futurum,ētōte,pluralis,
imperativus,passiva,praesens,ēre,singularis,
imperativus,passiva,praesens,ēminī,pluralis,
imperativus,passiva,futurum,ētor,singularis,
imperativus,passiva,futurum,entor,pluralis,
indicativus,activa,praesens,eō,singularis,prima
indicativus,activa,praesens,ēs,singularis,secunda
indicativus,activa,praesens,et,singularis,tertia
indicativus,activa,praesens,ēmus,pluralis,prima
indicativus,activa,praesens,ētis,pluralis,secunda
indicativus,activa,praesens,ent,pluralis,tertia
indicativus,activa,infectum,ēbam,singularis,prima
indicativus,activa,infectum,ēbās,singularis,secunda
indicativus,activa,infectum,ēbat,singularis,tertia
indicativus,activa,infectum,ēbāmus,pluralis,prima
indicativus,activa,infectum,ēbātis,pluralis,secunda
indicativus,activa,infectum,ēbant,pluralis,tertia
indicativus,activa,futurum,ēbō,singularis,prima
indicativus,activa,futurum,ēbis,singularis,secunda
indicativus,activa,futurum,ēbit,singularis,tertia
indicativus,activa,futurum,ēbimus,pluralis,prima
indicativus,activa,futurum,ēbitis,pluralis,secunda
indicativus,activa,futurum,ēbunt,pluralis,tertia
indicativus,activa,perfectum,ī,singularis,prima
indicativus,activa,perfectum,istī,singularis,secunda
indicativus,activa,perfectum,it,singularis,tertia
indicativus,activa,perfectum,imus,pluralis,prima
indicativus,activa,perfectum,itis,pluralis,secunda
indicativus,activa,perfectum,ērunt,pluralis,tertia
indicativus,activa,pluperfectum,eram,singularis,prima
indicativus,activa,pluperfectum,erās,singularis,secunda
indicativus,activa,pluperfectum,erat,singularis,tertia
indicativus,activa,pluperfectum,erāmus,pluralis,prima
indicativus,activa,pluperfectum,erātis,pluralis,secunda
indicativus,activa,pluperfectum,ērant,pluralis,tertia
indicativus,activa,exigendum,erō,singularis,prima
indicativus,activa,exigendum,erim,singularis,secunda
indicativus,activa,exigendum,erit,singularis,tertia
indicativus,activa,exigendum,erimus,pluralis,prima
indicativus,activa,exigendum,eritis,pluralis,secunda
indicativus,activa,exigendum,ērint,pluralis,tertia
indicativus,perfectum,praesens,eor,singularis,prima
indicativus,perfectum,praesens,ēris,singularis,secunda
indicativus,perfectum,praesens,ētur,singularis,tertia
indicativus,perfectum,praesens,ēmur,pluralis,prima
indicativus,perfectum,praesens,ēminī,pluralis,secunda
indicativus,perfectum,praesens,entur,pluralis,tertia
indicativus,perfectum,infectum,ēbar,singularis,prima
indicativus,perfectum,infectum,ēbāris,singularis,secunda
indicativus,perfectum,infectum,ēbātur,singularis,tertia
indicativus,perfectum,infectum,ēbāmur,pluralis,prima
indicativus,perfectum,infectum,ēbāminī,pluralis,secunda
indicativus,perfectum,infectum,ēbantur,pluralis,tertia
indicativus,perfectum,futurum,ēbor,singularis,prima
indicativus,perfectum,futurum,ēberis,singularis,secunda
indicativus,perfectum,futurum,ēbitur,singularis,tertia
indicativus,perfectum,futurum,ēbimur,pluralis,prima
indicativus,perfectum,futurum,ēbiminī,pluralis,secunda
indicativus,perfectum,futurum,ēbuntur,pluralis,tertia
subiunctivus,activa,praesens,eam,singularis,prima
subiunctivus,activa,praesens,eās,singularis,secunda
subiunctivus,activa,praesens,eat,singularis,tertia
subiunctivus,activa,praesens,eāmus,pluralis,prima
subiunctivus,activa,praesens,eātis,pluralis,secunda
subiunctivus,activa,praesens,eant,pluralis,tertia
subiunctivus,activa,infectum,ērem,singularis,prima
subiunctivus,activa,infectum,ērēs,singularis,secunda
subiunctivus,activa,infectum,ēret,singularis,tertia
subiunctivus,activa,infectum,ērēmus,pluralis,prima
subiunctivus,activa,infectum,ērētis,pluralis,secunda
subiunctivus,activa,infectum,ērent,pluralis,tertia
subiunctivus,activa,perfectum,erim,singularis,prima
subiunctivus,activa,perfectum,erīs,singularis,secunda
subiunctivus,activa,perfectum,erit,singularis,tertia
subiunctivus,activa,perfectum,erīmus,pluralis,prima
subiunctivus,activa,perfectum,erītis,pluralis,secunda
subiunctivus,activa,perfectum,erint,pluralis,tertia
subiunctivus,activa,pluperfectum,issem,singularis,prima
subiunctivus,activa,pluperfectum,issēs,singularis,secunda
subiunctivus,activa,pluperfectum,isset,singularis,tertia
subiunctivus,activa,pluperfectum,issēmus,pluralis,prima
subiunctivus,activa,pluperfectum,issētis,pluralis,secunda
subiunctivus,activa,pluperfectum,issent,pluralis,tertia
subiunctivus,passiva,praesens,ear,singularis,prima
subiunctivus,passiva,praesens,eāris,singularis,secunda
subiunctivus,passiva,praesens,eātur,singularis,tertia
subiunctivus,passiva,praesens,eāmur,pluralis,prima
subiunctivus,passiva,praesens,eāminī,pluralis,secunda
subiunctivus,passiva,praesens,eantur,pluralis,tertia
subiunctivus,passiva,infectum,ērer,singularis,prima
subiunctivus,passiva,infectum,ērēris,singularis,secunda
subiunctivus,passiva,infectum,ērētur,singularis,tertia
subiunctivus,passiva,infectum,ērēmur,pluralis,prima
subiunctivus,passiva,infectum,ērēminī,pluralis,secunda
subiunctivus,passiva,infectum,ērentur,pluralis,tertia
