numerus,gradus,genus,casus,scriptum
pluralis,,,dativus,īs
pluralis,,,ablativus,īs
pluralis,,,locativus,īs
singularis,,neutrum,nominativus,um
singularis,,neutrum,genitivus,ī
singularis,,neutrum,dativus,ō
singularis,,neutrum,accusativus,um
singularis,,neutrum,ablativus,ō
singularis,,neutrum,locativus,ō
singularis,,neutrum,vocativus,um
pluralis,,neutrum,nominativus,a
pluralis,,neutrum,genitivus,ōrum
pluralis,,neutrum,accusativus,a
pluralis,,neutrum,vocativus,a
singularis,,masculinum,nominativus,us
singularis,,masculinum,genitivus,ī
singularis,,masculinum,dativus,ō
singularis,,masculinum,accusativus,um
singularis,,masculinum,ablativus,ō
singularis,,masculinum,locativus,ō
singularis,,masculinum,vocativus,e
pluralis,,masculinum,nominativus,ī
pluralis,,masculinum,genitivus,ōrum
pluralis,,masculinum,accusativus,ōs
pluralis,,masculinum,vocativus,ī
singularis,,femininum,nominativus,a
singularis,,femininum,genitivus,ae
singularis,,femininum,dativus,ae
singularis,,femininum,accusativus,am
singularis,,femininum,ablativus,ā
singularis,,femininum,locativus,ā
singularis,,femininum,vocativus,a
pluralis,,femininum,nominativus,ae
pluralis,,femininum,genitivus,ārum
pluralis,,femininum,accusativus,ās
pluralis,,femininum,vocativus,ae
