gradus,genus,numeralis,casus,scriptum
positivus,,singularis,genitivus,is
positivus,,singularis,dativus,ī
positivus,,singularis,ablativus,e
positivus,,singularis,locativus,e
positivus,,pluralis,genitivus,um
positivus,,pluralis,dativus,ibus
positivus,,pluralis,ablativus,ibus
positivus,,pluralis,locativus,ibus
positivus,neutrum,singularis,nominativus,e
positivus,neutrum,singularis,accusativus,e
positivus,neutrum,singularis,vocativus,e
positivus,neutrum,pluralis,nominativus,a
positivus,neutrum,pluralis,accusativus,a
positivus,neutrum,pluralis,vocativus,a
positivus,masculinum,singularis,nominativus,
positivus,masculinum,singularis,accusativus,em
positivus,masculinum,singularis,vocativus,
positivus,masculinum,pluralis,nominativus,ēs
positivus,masculinum,pluralis,accusativus,ēs
positivus,masculinum,pluralis,vocativus,
positivus,femininum,singularis,nominativus,
positivus,femininum,singularis,accusativus,em
positivus,femininum,singularis,vocativus,
positivus,femininum,pluralis,nominativus,ēs
positivus,femininum,pluralis,accusativus,ēs
positivus,femininum,pluralis,vocativus,

comparativus,,singularis,genitivus,iōris
comparativus,,singularis,dativus,iōrī
comparativus,,singularis,ablativus,iōre
comparativus,,singularis,locativus,iōre
comparativus,,pluralis,genitivus,iōrum
comparativus,,pluralis,dativus,iōribus
comparativus,,pluralis,ablativus,iōribus
comparativus,,pluralis,locativus,iōribus
comparativus,neutrum,singularis,nominativus,ius
comparativus,neutrum,singularis,vocaivus,ius
comparativus,neutrum,pluralis,nominativus,iōra
comparativus,neutrum,pluralis,vocaivus,iōra
comparativus,masculinum,singularis,nominativus,ior
comparativus,masculinum,singularis,vocaivus,ior
comparativus,masculinum,pluralis,nominativus,iōrēs
comparativus,masculinum,pluralis,vocaivus,iōrēs
comparativus,femininum,singularis,nominativus,ior
comparativus,femininum,singularis,vocaivus,ior
comparativus,femininum,pluralis,nominativus,iōrēs
comparativus,femininum,pluralis,vocaivus,iōrēs

superlativus,,pluralis,dativus,īs
superlativus,,pluralis,ablativus,īs
superlativus,,pluralis,locativus,īs
superlativus,neutrum,singularis,nominativus,um
superlativus,neutrum,singularis,genitivus,ī
superlativus,neutrum,singularis,dativus,ō
superlativus,neutrum,singularis,accusativus,um
superlativus,neutrum,singularis,ablativus,ō
superlativus,neutrum,singularis,locativus,ō
superlativus,neutrum,pluralis,nominativus,a
superlativus,neutrum,pluralis,genitivus,ōrum
superlativus,neutrum,pluralis,accusativus,a
superlativus,masculinum,singularis,nominativus,us
superlativus,masculinum,singularis,genitivus,ī
superlativus,masculinum,singularis,dativus,ō
superlativus,masculinum,singularis,accusativus,um
superlativus,masculinum,singularis,ablativus,ō
superlativus,masculinum,singularis,locativus,ō
superlativus,masculinum,pluralis,nominativus,ī
superlativus,masculinum,pluralis,genitivus,ōrum
superlativus,masculinum,pluralis,accusativus,ōs
superlativus,femininum,singularis,nominativus,a
superlativus,femininum,singularis,genitivus,ae
superlativus,femininum,singularis,dativus,ae
superlativus,femininum,singularis,accusativus,am
superlativus,femininum,singularis,ablativus,ā
superlativus,femininum,singularis,locativus,ā
superlativus,femininum,pluralis,nominativus,ae
superlativus,femininum,pluralis,genitivus,ārum
superlativus,femininum,pluralis,accusativus,ās
